Sales Person,Geography,Product,Date,Sales,Boxes
Roddy Speechley,USA   ,Raspberry Choco,6/2/2023,"$17,179 ",161
Barr Faughny,Canada   ,Fruit & Nut Bars,6/2/2023,"$9,898 ",279
Beverie Moffet,USA   ,Smooth Silky Salty,6/2/2023,"$20,174 ",133
Beverie Moffet,Canada,Almond Choco,6/2/2023,"$12,312 ",250
Jehu Rudeforth,UK ,Raspberry Choco,6/2/2023,"$7,592 ",360
Karlen McCaffrey,Canada,70% Dark Bites,6/2/2023,"$5,211 ",924
Dennison Crosswaite,New Zealand  ,Organic Choco Syrup,6/2/2023,"$4,802 ",1126
Dotty Strutley,USA  ,Orange Choco,6/2/2023,"$10,334 ",360
Dotty Strutley,New Zealand ,White Choc,6/2/2023,$79 ,185
Rafaelita Blaksland,India  ,Orange Choco,6/2/2023,"$8,701 ",169
Jehu Rudeforth,India  ,Smooth Silky Salty,7/2/2023,"$6,752 ",631
Roddy Speechley,India ,Organic Choco Syrup,7/2/2023,"$8,242 ",549
Roddy Speechley,New Zealand   ,70% Dark Bites,7/2/2023,"$1,330 ",686
Barr Faughny,USA,Drinking Coco,7/2/2023,"$4,853 ",14
Beverie Moffet,Australia,85% Dark Bars,7/2/2023,"$1,134 ",195
Camilla Castle,Australia   ,Mint Chip Choco,7/2/2023,"$1,919 ",1
Curtice Advani,Australia ,Smooth Silky Salty,7/2/2023,"$12,641 ",296
Wilone O'Kielt,India ,Manuka Honey Choco,7/2/2023,"$10,832 ",142
Oby Sorrel,New Zealand   ,Choco Coated Almonds,8/2/2023,"$3,321 ",604
Curtice Advani,Canada   ,85% Dark Bars,8/2/2023,"$1,181 ",289
Husein Augar,Australia   ,Manuka Honey Choco,8/2/2023,"$8,564 ",113
Andria Kimpton,Australia  ,Spicy Special Slims,8/2/2023,"$1,352 ",45
Brien Boise,Australia  ,Mint Chip Choco,8/2/2023,"$5,128 ",339
Dotty Strutley,UK ,Orange Choco,8/2/2023,"$11,502 ",509
Andria Kimpton,Australia,Manuka Honey Choco,8/2/2023,"$12,668 ",45
Wilone O'Kielt,New Zealand  ,Manuka Honey Choco,8/2/2023,"$11,567 ",13
Dennison Crosswaite,New Zealand,Smooth Silky Salty,8/2/2023,"$2,273 ",110
Gigi Bohling,UK ,Eclairs,8/2/2023,"$2,482 ",82
Jehu Rudeforth,New Zealand   ,After Nines,8/2/2023,"$12,906 ",125
Madelene Upcott,USA ,Raspberry Choco,8/2/2023,"$2,493 ",336
Wilone O'Kielt,Australia   ,Peanut Butter Cubes,8/2/2023,"$6,458 ",860
Barr Faughny,India   ,Eclairs,8/2/2023,"$1,944 ",397
Dennison Crosswaite,India,Fruit & Nut Bars,8/2/2023,"$4,327 ",89
Marney O'Breen,Australia   ,Orange Choco,8/2/2023,"$5,112 ",256
Jehu Rudeforth,Australia  ,99% Dark & Pure,8/2/2023,"$8,336 ",355
Barr Faughny,New Zealand   ,Caramel Stuffed Bars,8/2/2023,"$3,634 ",56
Van Tuxwell,New Zealand,Mint Chip Choco,8/2/2023,"$5,540 ",75
Oby Sorrel,USA,Peanut Butter Cubes,8/2/2023,"$6,732 ",126
Beverie Moffet,New Zealand   ,Smooth Silky Salty,8/2/2023,"$9,882 ",258
Ches Bonnell,Canada,Almond Choco,8/2/2023,"$6,550 ",231
Curtice Advani,UK   ,Fruit & Nut Bars,8/2/2023,"$3,859 ",140
Kelci Walkden,Canada   ,Mint Chip Choco,8/2/2023,"$6,620 ",262
Oby Sorrel,USA,Milk Bars,8/2/2023,"$1,807 ",329
Jan Morforth,UK,Spicy Special Slims,8/2/2023,$682 ,126
Gunar Cockshoot,UK,50% Dark Bites,8/2/2023,"$3,555 ",255
Beverie Moffet,Australia ,Eclairs,8/2/2023,"$4,511 ",689
Husein Augar,USA  ,Peanut Butter Cubes,8/2/2023,"$4,122 ",284
Dotty Strutley,UK   ,Peanut Butter Cubes,8/2/2023,"$6,676 ",88
Gunar Cockshoot,New Zealand   ,Peanut Butter Cubes,8/2/2023,"$13,052 ",233
Ches Bonnell,Canada,Raspberry Choco,8/2/2023,"$1,897 ",201
Oby Sorrel,USA,Eclairs,8/2/2023,"$3,749 ",324
Kelci Walkden,Australia  ,50% Dark Bites,9/2/2023,"$5,794 ",586
Mallorie Waber,India,Fruit & Nut Bars,9/2/2023,"$4,707 ",521
Jehu Rudeforth,Canada,Drinking Coco,9/2/2023,"$3,593 ",694
Curtice Advani,UK  ,85% Dark Bars,9/2/2023,"$3,629 ",499
Van Tuxwell,India   ,Caramel Stuffed Bars,9/2/2023,"$10,055 ",202
Ches Bonnell,USA ,85% Dark Bars,9/2/2023,"$6,350 ",345
Kelci Walkden,Australia,Raspberry Choco,9/2/2023,"$3,035 ",252
Roddy Speechley,Australia  ,Eclairs,9/2/2023,"$1,278 ",62
Jan Morforth,Canada  ,Spicy Special Slims,9/2/2023,"$5,470 ",28
Brien Boise,USA ,Peanut Butter Cubes,9/2/2023,"$8,822 ",749
Rafaelita Blaksland,USA,Mint Chip Choco,9/2/2023,"$2,248 ",434
Ches Bonnell,India ,Orange Choco,9/2/2023,"$11,169 ",322
Andria Kimpton,India   ,Peanut Butter Cubes,9/2/2023,"$10,267 ",105
Karlen McCaffrey,UK  ,Manuka Honey Choco,9/2/2023,$529 ,428
Barr Faughny,India ,Raspberry Choco,9/2/2023,"$7,544 ",543
Kaine Padly,Canada ,Mint Chip Choco,10/2/2023,"$1,175 ",121
Jehu Rudeforth,Canada   ,White Choc,10/2/2023,"$9,398 ",58
Jan Morforth,Australia ,Smooth Silky Salty,10/2/2023,"$2,540 ",383
Oby Sorrel,USA  ,Milk Bars,10/2/2023,"$17,795 ",53
Gigi Bohling,Canada  ,Peanut Butter Cubes,10/2/2023,"$9,540 ",62
Mallorie Waber,UK ,White Choc,10/2/2023,"$5,333 ",85
Mallorie Waber,UK   ,After Nines,10/2/2023,"$5,857 ",54
Jan Morforth,India ,Almond Choco,10/2/2023,"$1,091 ",291
Van Tuxwell,India ,Organic Choco Syrup,10/2/2023,"$7,029 ",86
Husein Augar,UK ,Milk Bars,10/2/2023,"$5,400 ",713
Van Tuxwell,Canada   ,Peanut Butter Cubes,10/2/2023,"$5,245 ",81
Gigi Bohling,Canada  ,Fruit & Nut Bars,10/2/2023,$284 ,1354
Gunar Cockshoot,Canada   ,Almond Choco,10/2/2023,"$8,728 ",129
Jan Morforth,Australia ,Drinking Coco,10/2/2023,"$4,802 ",89
Van Tuxwell,Canada ,Baker's Choco Chips,10/2/2023,"$6,161 ",703
Beverie Moffet,USA   ,99% Dark & Pure,10/2/2023,"$5,452 ",188
Beverie Moffet,UK,Mint Chip Choco,10/2/2023,"$3,427 ",0
Van Tuxwell,Australia   ,Raspberry Choco,10/2/2023,"$4,759 ",245
Madelene Upcott,USA  ,99% Dark & Pure,10/2/2023,"$8,415 ",245
Wilone O'Kielt,Australia  ,Manuka Honey Choco,10/2/2023,"$6,332 ",623
Curtice Advani,UK,Manuka Honey Choco,10/2/2023,"$9,646 ",71
Dennison Crosswaite,USA   ,Smooth Silky Salty,10/2/2023,"$3,227 ",817
Jan Morforth,UK,Peanut Butter Cubes,10/2/2023,"$6,887 ",129
Rafaelita Blaksland,Australia ,After Nines,10/2/2023,"$12,224 ",93
Gunar Cockshoot,Australia  ,Raspberry Choco,10/2/2023,"$1,280 ",822
Camilla Castle,India  ,After Nines,10/2/2023,"$11,338 ",702
Gigi Bohling,UK   ,Choco Coated Almonds,13/2/2023,$176 ,800
Jan Morforth,Canada   ,70% Dark Bites,13/2/2023,"$2,495 ",199
Madelene Upcott,UK,50% Dark Bites,13/2/2023,"$7,515 ",493
Brien Boise,New Zealand ,White Choc,13/2/2023,"$2,669 ",245
Camilla Castle,Canada,Smooth Silky Salty,13/2/2023,$401 ,49
Gigi Bohling,USA  ,85% Dark Bars,13/2/2023,"$6,730 ",247
Kaine Padly,USA ,Drinking Coco,13/2/2023,"$5,551 ",585
Dennison Crosswaite,New Zealand  ,After Nines,13/2/2023,"$3,951 ",252
Madelene Upcott,New Zealand   ,Almond Choco,13/2/2023,"$5,227 ",290
Oby Sorrel,Australia   ,70% Dark Bites,13/2/2023,"$5,562 ",254
Barr Faughny,India ,Peanut Butter Cubes,13/2/2023,"$9,671 ",378
Gigi Bohling,UK  ,50% Dark Bites,13/2/2023,"$1,132 ",88
Wilone O'Kielt,New Zealand  ,99% Dark & Pure,13/2/2023,"$5,760 ",98
Karlen McCaffrey,India   ,Baker's Choco Chips,13/2/2023,$9 ,208
Gigi Bohling,New Zealand,White Choc,13/2/2023,"$7,047 ",505
Brien Boise,Canada,Manuka Honey Choco,13/2/2023,"$9,263 ",558
Husein Augar,New Zealand   ,Smooth Silky Salty,13/2/2023,"$8,892 ",464
Beverie Moffet,UK   ,Peanut Butter Cubes,13/2/2023,"$7,776 ",602
Curtice Advani,Canada ,85% Dark Bars,13/2/2023,"$10,332 ",375
Roddy Speechley,UK,Spicy Special Slims,13/2/2023,"$4,903 ",247
Andria Kimpton,Australia,Peanut Butter Cubes,14/2/2023,"$2,446 ",506
Kaine Padly,USA  ,Peanut Butter Cubes,14/2/2023,"$7,549 ",92
Mallorie Waber,USA   ,Fruit & Nut Bars,14/2/2023,"$6,044 ",1025
Kaine Padly,Canada ,Drinking Coco,14/2/2023,"$2,644 ",339
Andria Kimpton,India ,Spicy Special Slims,14/2/2023,"$7,943 ",107
Gunar Cockshoot,Canada   ,Eclairs,14/2/2023,"$7,027 ",112
Oby Sorrel,Canada  ,Milk Bars,14/2/2023,"$6,332 ",220
Curtice Advani,Australia   ,99% Dark & Pure,14/2/2023,"$9,626 ",100
Andria Kimpton,USA  ,Orange Choco,14/2/2023,"$13,122 ",207
Roddy Speechley,New Zealand,White Choc,14/2/2023,"$9,457 ",93
Wilone O'Kielt,UK,Organic Choco Syrup,14/2/2023,"$16,900 ",252
Kaine Padly,USA   ,Almond Choco,14/2/2023,"$8,465 ",110
Beverie Moffet,Australia  ,Caramel Stuffed Bars,14/2/2023,"$5,418 ",366
Gigi Bohling,Canada   ,70% Dark Bites,14/2/2023,"$11,255 ",327
Barr Faughny,India,Milk Bars,14/2/2023,"$8,629 ",94
Oby Sorrel,Australia  ,Fruit & Nut Bars,14/2/2023,"$4,475 ",247
Kelci Walkden,USA  ,85% Dark Bars,14/2/2023,"$2,855 ",365
Dennison Crosswaite,New Zealand  ,Choco Coated Almonds,14/2/2023,$986 ,200
Curtice Advani,India,Manuka Honey Choco,14/2/2023,"$1,859 ",657
Roddy Speechley,USA ,Mint Chip Choco,15/2/2023,$380 ,102
Oby Sorrel,India,Drinking Coco,15/2/2023,"$4,271 ",98
Husein Augar,Canada ,Fruit & Nut Bars,15/2/2023,"$2,986 ",245
Jehu Rudeforth,Canada  ,Fruit & Nut Bars,15/2/2023,"$1,609 ",97
Jehu Rudeforth,Australia  ,Eclairs,15/2/2023,"$6,023 ",175
Beverie Moffet,Australia   ,Raspberry Choco,15/2/2023,"$3,530 ",562
Oby Sorrel,India   ,85% Dark Bars,15/2/2023,"$8,818 ",431
Roddy Speechley,New Zealand   ,50% Dark Bites,15/2/2023,$356 ,202
Jan Morforth,India ,Manuka Honey Choco,15/2/2023,$878 ,310
Jan Morforth,Canada   ,99% Dark & Pure,15/2/2023,"$5,830 ",131
Brien Boise,UK,Almond Choco,16/2/2023,"$11,693 ",174
Brien Boise,Canada   ,Organic Choco Syrup,16/2/2023,"$8,357 ",636
Madelene Upcott,USA ,Drinking Coco,16/2/2023,"$5,087 ",261
Roddy Speechley,UK ,Caramel Stuffed Bars,16/2/2023,"$1,472 ",91
Van Tuxwell,New Zealand ,50% Dark Bites,16/2/2023,"$1,805 ",1165
Gigi Bohling,UK   ,99% Dark & Pure,16/2/2023,"$5,902 ",400
Gigi Bohling,Australia,Fruit & Nut Bars,16/2/2023,"$6,134 ",750
Oby Sorrel,India ,Raspberry Choco,16/2/2023,"$2,041 ",133
Kaine Padly,New Zealand,Peanut Butter Cubes,16/2/2023,"$6,545 ",157
Gunar Cockshoot,Australia  ,70% Dark Bites,16/2/2023,"$5,472 ",2020
Karlen McCaffrey,UK   ,Peanut Butter Cubes,17/2/2023,"$8,489 ",886
Dotty Strutley,Canada,Spicy Special Slims,17/2/2023,"$7,405 ",283
Beverie Moffet,India ,Drinking Coco,17/2/2023,"$6,908 ",342
Jan Morforth,Canada ,Milk Bars,17/2/2023,"$6,253 ",337
Ches Bonnell,USA ,Mint Chip Choco,17/2/2023,$590 ,79
Kaine Padly,New Zealand ,Smooth Silky Salty,17/2/2023,"$5,438 ",773
Andria Kimpton,USA,Milk Bars,17/2/2023,"$2,590 ",1
Andria Kimpton,Canada  ,Orange Choco,17/2/2023,$887 ,331
Camilla Castle,Canada,Eclairs,17/2/2023,"$8,928 ",231
Ches Bonnell,UK  ,Orange Choco,17/2/2023,"$5,375 ",80
Rafaelita Blaksland,UK  ,85% Dark Bars,17/2/2023,"$3,479 ",431
Wilone O'Kielt,USA ,Milk Bars,17/2/2023,"$3,602 ",194
Jan Morforth,USA   ,Choco Coated Almonds,17/2/2023,"$1,478 ",66
Ches Bonnell,New Zealand ,Peanut Butter Cubes,17/2/2023,"$10,352 ",179
Curtice Advani,USA   ,Raspberry Choco,17/2/2023,"$2,214 ",1111
Rafaelita Blaksland,Australia ,Eclairs,17/2/2023,"$3,222 ",162
Kelci Walkden,Australia ,Caramel Stuffed Bars,17/2/2023,"$9,383 ",133
Mallorie Waber,New Zealand  ,Drinking Coco,17/2/2023,"$3,519 ",248
Ches Bonnell,New Zealand   ,Spicy Special Slims,17/2/2023,"$7,855 ",129
Roddy Speechley,India   ,Spicy Special Slims,17/2/2023,"$3,834 ",214
Husein Augar,Canada   ,Eclairs,20/2/2023,"$3,067 ",141
Karlen McCaffrey,New Zealand,Baker's Choco Chips,20/2/2023,"$11,741 ",62
Brien Boise,USA   ,50% Dark Bites,20/2/2023,"$4,385 ",365
Kaine Padly,UK  ,Baker's Choco Chips,20/2/2023,"$1,670 ",7
Marney O'Breen,Australia ,Peanut Butter Cubes,20/2/2023,"$8,235 ",1092
Gigi Bohling,India  ,Fruit & Nut Bars,20/2/2023,"$8,813 ",754
Roddy Speechley,USA  ,Caramel Stuffed Bars,20/2/2023,"$11,241 ",128
Gunar Cockshoot,UK   ,Organic Choco Syrup,20/2/2023,"$12,200 ",195
Jan Morforth,UK,99% Dark & Pure,20/2/2023,"$5,940 ",378
Beverie Moffet,USA ,Baker's Choco Chips,20/2/2023,"$3,436 ",1128
Camilla Castle,Australia,Raspberry Choco,20/2/2023,"$7,193 ",179
Jehu Rudeforth,Australia ,Caramel Stuffed Bars,20/2/2023,"$2,673 ",151
Kaine Padly,UK   ,Eclairs,20/2/2023,"$2,396 ",488
Madelene Upcott,Australia ,99% Dark & Pure,20/2/2023,"$7,630 ",150
Gunar Cockshoot,USA,50% Dark Bites,20/2/2023,"$8,026 ",193
Marney O'Breen,Australia   ,Raspberry Choco,20/2/2023,"$1,697 ",374
Gigi Bohling,UK,Eclairs,20/2/2023,"$6,890 ",398
Dennison Crosswaite,UK ,Smooth Silky Salty,20/2/2023,"$4,955 ",1037
Kelci Walkden,Australia  ,85% Dark Bars,20/2/2023,"$10,559 ",295
Madelene Upcott,UK   ,After Nines,20/2/2023,"$1,787 ",418
Roddy Speechley,Canada   ,Orange Choco,20/2/2023,"$11,122 ",133
Ches Bonnell,USA ,Baker's Choco Chips,20/2/2023,"$5,580 ",1069
Van Tuxwell,New Zealand   ,70% Dark Bites,20/2/2023,"$7,387 ",272
Gigi Bohling,India,Almond Choco,21/2/2023,"$9,090 ",469
Beverie Moffet,UK,Caramel Stuffed Bars,21/2/2023,"$1,346 ",243
Camilla Castle,Canada ,Mint Chip Choco,21/2/2023,"$3,899 ",11
Ches Bonnell,New Zealand   ,Raspberry Choco,21/2/2023,"$2,763 ",152
Gunar Cockshoot,UK   ,Almond Choco,21/2/2023,"$9,621 ",644
Dotty Strutley,USA ,Baker's Choco Chips,21/2/2023,"$2,327 ",108
Van Tuxwell,Australia   ,85% Dark Bars,21/2/2023,"$5,787 ",255
Andria Kimpton,USA  ,Organic Choco Syrup,21/2/2023,"$2,192 ",68
Andria Kimpton,Canada  ,Manuka Honey Choco,21/2/2023,"$3,236 ",191
Brien Boise,UK ,After Nines,21/2/2023,"$5,803 ",114
Madelene Upcott,UK,White Choc,21/2/2023,"$2,048 ",518
Karlen McCaffrey,Australia  ,Drinking Coco,21/2/2023,"$6,552 ",1277
Wilone O'Kielt,India   ,50% Dark Bites,21/2/2023,"$3,690 ",232
Ches Bonnell,USA  ,Milk Bars,21/2/2023,"$6,071 ",501
Ches Bonnell,UK  ,Almond Choco,21/2/2023,"$5,760 ",125
Camilla Castle,UK,Caramel Stuffed Bars,21/2/2023,"$6,743 ",211
Beverie Moffet,India ,Baker's Choco Chips,21/2/2023,$889 ,503
Oby Sorrel,UK  ,Fruit & Nut Bars,21/2/2023,"$2,106 ",542
Dotty Strutley,UK ,After Nines,21/2/2023,"$2,909 ",107
Oby Sorrel,New Zealand  ,Peanut Butter Cubes,21/2/2023,"$6,712 ",82
Curtice Advani,UK ,Almond Choco,22/2/2023,$362 ,428
Camilla Castle,India   ,Raspberry Choco,22/2/2023,"$3,872 ",995
Wilone O'Kielt,USA,Almond Choco,22/2/2023,"$4,667 ",615
Madelene Upcott,India ,Choco Coated Almonds,22/2/2023,"$1,118 ",592
Oby Sorrel,UK   ,99% Dark & Pure,22/2/2023,"$12,776 ",355
Roddy Speechley,UK ,Peanut Butter Cubes,22/2/2023,"$10,703 ",206
Barr Faughny,USA  ,Organic Choco Syrup,22/2/2023,"$15,973 ",837
Camilla Castle,New Zealand ,50% Dark Bites,22/2/2023,"$12,186 ",326
Barr Faughny,Canada   ,Caramel Stuffed Bars,22/2/2023,"$1,895 ",1335
Gigi Bohling,India  ,Almond Choco,22/2/2023,"$2,144 ",776
Husein Augar,New Zealand,White Choc,22/2/2023,"$3,548 ",43
Karlen McCaffrey,India,Caramel Stuffed Bars,22/2/2023,"$8,141 ",98
Curtice Advani,New Zealand,Eclairs,22/2/2023,"$3,551 ",400
Van Tuxwell,Canada ,Raspberry Choco,22/2/2023,"$5,483 ",124
Karlen McCaffrey,India ,50% Dark Bites,22/2/2023,"$6,487 ",53
Madelene Upcott,New Zealand   ,After Nines,22/2/2023,"$4,556 ",126
Beverie Moffet,Canada ,Peanut Butter Cubes,22/2/2023,"$9,437 ",63
Oby Sorrel,New Zealand ,Eclairs,22/2/2023,"$5,636 ",300
Beverie Moffet,India ,Mint Chip Choco,22/2/2023,$747 ,592
Dotty Strutley,New Zealand   ,Drinking Coco,22/2/2023,"$5,391 ",391
Roddy Speechley,New Zealand ,Mint Chip Choco,23/2/2023,"$2,198 ",40
Roddy Speechley,New Zealand ,Caramel Stuffed Bars,23/2/2023,"$4,104 ",663
Husein Augar,UK,Mint Chip Choco,23/2/2023,"$2,610 ",16
Marney O'Breen,USA,Smooth Silky Salty,23/2/2023,"$4,586 ",205
Jehu Rudeforth,Australia   ,50% Dark Bites,23/2/2023,$421 ,1672
Husein Augar,India   ,85% Dark Bars,23/2/2023,"$3,292 ",168
Oby Sorrel,Canada ,Caramel Stuffed Bars,23/2/2023,$261 ,294
Beverie Moffet,Australia   ,Fruit & Nut Bars,23/2/2023,"$2,601 ",718
Jehu Rudeforth,India  ,Almond Choco,23/2/2023,$938 ,325
Oby Sorrel,Canada,70% Dark Bites,23/2/2023,"$2,567 ",316
Oby Sorrel,USA   ,Orange Choco,23/2/2023,"$4,529 ",70
Rafaelita Blaksland,UK ,Almond Choco,23/2/2023,"$4,547 ",105
Husein Augar,India  ,Orange Choco,23/2/2023,"$9,770 ",646
Kelci Walkden,USA   ,99% Dark & Pure,23/2/2023,"$9,740 ",91
Karlen McCaffrey,New Zealand  ,Manuka Honey Choco,23/2/2023,"$2,234 ",429
Gigi Bohling,Canada  ,Almond Choco,23/2/2023,"$2,160 ",431
Husein Augar,Canada  ,Milk Bars,23/2/2023,$758 ,423
Roddy Speechley,Canada   ,After Nines,23/2/2023,"$9,824 ",41
Curtice Advani,New Zealand,Baker's Choco Chips,23/2/2023,"$6,741 ",32
Rafaelita Blaksland,Australia  ,Organic Choco Syrup,23/2/2023,"$1,775 ",220
